ACTUAL,pr_out1,pr_out2,pr_out3,pr_out4,pr_out5,pr_out6,pr_out7,pr_out8,pr_out9,pr_out10,average output,error,% error
84,83,83,83,83,83,83,83,83,83,83,83,0.011904762,1.19047619
83,68,68,68,68,68,68,68,68,68,68,68,0.180722892,18.07228916
84,86,86,81,84,84,83,84,86,86,84,84.4,0.004761905,0.476190476
84,82,82,82,82,82,82,82,82,82,82,82,0.023809524,2.380952381
84,80,83,83,83,83,83,80,83,80,83,82.1,0.022619048,2.261904762
86,81,81,81,81,81,81,81,81,81,81,81,0.058139535,5.813953488
86,83,83,83,83,83,83,83,83,83,83,83,0.034883721,3.488372093
86,76,76,76,76,76,76,76,76,76,76,76,0.11627907,11.62790698
86,86,86,86,86,86,86,86,86,86,86,86,0,0
88,88,88,88,88,88,88,88,88,88,88,88,0,0
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
86,86,86,86,86,86,86,86,86,86,86,86,0,0
88,80,76,76,76,80,80,76,76,76,76,77.2,0.122727273,12.27272727
89,81,81,81,81,81,81,81,81,81,81,81,0.08988764,8.988764045
88,73,73,72,73,72,73,72,72,72,73,72.5,0.176136364,17.61363636
88,88,88,88,88,88,88,88,88,88,88,88,0,0
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
89,81,81,81,76,81,81,81,76,81,81,80,0.101123596,10.11235955
86,82,82,82,82,82,82,82,82,82,82,82,0.046511628,4.651162791
86,86,86,86,86,86,86,86,86,86,86,86,0,0
86,88,88,88,88,88,88,88,88,88,88,88,0.023255814,2.325581395
84,86,86,86,86,86,86,86,86,86,86,86,0.023809524,2.380952381
86,78,78,78,78,78,78,78,78,78,78,78,0.093023256,9.302325581
86,84,84,84,84,83,84,84,83,83,84,83.7,0.026744186,2.674418605
86,82,82,82,82,82,82,82,82,82,82,82,0.046511628,4.651162791
86,88,88,88,88,88,88,88,88,88,88,88,0.023255814,2.325581395
86,100,100,70,68,100,100,68,100,68,68,84.2,0.020930233,2.093023256
86,84,84,84,84,84,84,84,84,84,84,84,0.023255814,2.325581395
86,84,84,84,84,84,84,84,84,84,84,84,0.023255814,2.325581395
