Actual,Predicted DT,Actual Error of DT,MAE of DT,MAPE of DT
88,88,0,0,0
88,83,5,0.056818182,5.681818182
89,86,3,0.033707865,3.370786517
90,73,17,0.188888889,18.88888889
88,84,4,0.045454545,4.545454545
85,74,11,0.129411765,12.94117647
84,72,12,0.142857143,14.28571429
86,84,2,0.023255814,2.325581395
84,73,11,0.130952381,13.0952381
82,82,0,0,0
86,86,0,0,0
80,84,4,0.05,5
80,83,3,0.0375,3.75
86,89,3,0.034883721,3.488372093
88,84,4,0.045454545,4.545454545
88,74,14,0.159090909,15.90909091
88,83,5,0.056818182,5.681818182
88,86,2,0.022727273,2.272727273
90,86,4,0.044444444,4.444444444
90,84,6,0.066666667,6.666666667
90,78,12,0.133333333,13.33333333
90,71,19,0.211111111,21.11111111
86,72,14,0.162790698,16.27906977
81,71,10,0.12345679,12.34567901
82,89,7,0.085365854,8.536585366
81,74,7,0.086419753,8.641975309
83,82,1,0.012048193,1.204819277
84,84,0,0,0
86,80,6,0.069767442,6.976744186
86,82,4,0.046511628,4.651162791
84,74,10,0.119047619,11.9047619
